State,Department,Website,District,Block
Telangana,"Animal Husbadry & Veterinary Department(AVH), Nereducherla",RTI_telangana,Nereducherla,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Nidmanoor",RTI_telangana,Nidmanoor,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Parkal",RTI_telangana,Parkal,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Pathergatti",RTI_telangana,Pathergatti,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH),Bheemgal",RTI_telangana,Bheemgal,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH),Madhira",RTI_telangana,Madhira,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH),MADNOOR",RTI_telangana,MADNOOR,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH),N.K.Palli",RTI_telangana,N.K.Palli,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH),Suryapet",RTI_telangana,Suryapet,NA
Telangana,Animal Husbadry & Veterinary Department(AVH). Ghanpur(Stn,RTI_telangana,. Ghanpur(Stn,NA
Telangana,Animal Husbadry & Veterinary Department(AVH). Mahabubabad,RTI_telangana,Mahabubabad,NA
Telangana,Animal Husbadry & Veterinary Department(AVH). Maripeda,RTI_telangana,. Maripeda,NA
Telangana,Animal Husbadry & Veterinary Department(AVH).BANSWADA,RTI_telangana,.BANSWADA,NA
Telangana,Animal Husbadry & Veterinary Department(AVH).BICHKUNDA,RTI_telangana,.BICHKUNDA,NA
Telangana,Animal Husbadry & Veterinary Department(AVH).DOMAKONDA,RTI_telangana,.DOMAKONDA,NA
